Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,"Other people in need of international protection"
1964,India,Tibetan,IND,TIB,44000,0,0
1965,India,Tibetan,IND,TIB,45000,0,0
1966,India,Tibetan,IND,TIB,45000,0,0
1967,India,Tibetan,IND,TIB,50000,0,0
1968,India,Tibetan,IND,TIB,55000,0,0
1969,India,Tibetan,IND,TIB,56150,0,0
1970,India,Tibetan,IND,TIB,56500,0,0
1971,India,Tibetan,IND,TIB,56180,0,0
1972,India,Tibetan,IND,TIB,57680,0,0
1973,India,Tibetan,IND,TIB,58840,0,0
1974,India,Tibetan,IND,TIB,59900,0,0
1981,India,Afghanistan,IND,AFG,2690,0,0
1981,India,"Iran (Islamic Rep. of)",IND,IRN,720,0,0
1981,India,"Unknown ",IND,UNK,100,0,0
1982,India,Afghanistan,IND,AFG,3430,0,0
1982,India,"Iran (Islamic Rep. of)",IND,IRN,1480,0,0
1982,India,"Unknown ",IND,UNK,100,0,0
1983,India,Afghanistan,IND,AFG,5300,0,0
1983,India,"Iran (Islamic Rep. of)",IND,IRN,1560,0,0
1983,India,"Unknown ",IND,UNK,70,0,0
1984,India,Afghanistan,IND,AFG,5850,0,0
1984,India,"Iran (Islamic Rep. of)",IND,IRN,1250,0,0
1984,India,"Unknown ",IND,UNK,100,0,0
1985,India,Afghanistan,IND,AFG,5690,0,0
1985,India,"Iran (Islamic Rep. of)",IND,IRN,940,0,0
1985,India,"Unknown ",IND,UNK,90,0,0
1986,India,Afghanistan,IND,AFG,5530,0,0
1986,India,"Iran (Islamic Rep. of)",IND,IRN,820,0,0
1986,India,"Unknown ",IND,UNK,90,0,0
1987,India,Afghanistan,IND,AFG,5180,0,0
1987,India,"Iran (Islamic Rep. of)",IND,IRN,1440,0,0
1987,India,"Unknown ",IND,UNK,100,0,0
1988,India,Afghanistan,IND,AFG,4891,0,0
1988,India,"Iran (Islamic Rep. of)",IND,IRN,1660,0,0
1988,India,"Unknown ",IND,UNK,94,0,0
1989,India,Afghanistan,IND,AFG,8451,0,0
1989,India,"Iran (Islamic Rep. of)",IND,IRN,982,0,0
1989,India,"Unknown ",IND,UNK,116,0,0
1990,India,Afghanistan,IND,AFG,11946,0,0
1990,India,"Iran (Islamic Rep. of)",IND,IRN,605,0,0
1990,India,"Sri Lanka",IND,LKA,200000,0,0
1990,India,"Unknown ",IND,UNK,192,0,0
1991,India,Afghanistan,IND,AFG,9766,0,0
1991,India,"Iran (Islamic Rep. of)",IND,IRN,803,0,0
1991,India,"Sri Lanka",IND,LKA,200000,0,0
1992,India,Afghanistan,IND,AFG,11002,0,0
1992,India,Bangladesh,IND,BGD,53187,0,0
1992,India,China,IND,CHN,80000,0,0
1992,India,"Iran (Islamic Rep. of)",IND,IRN,806,0,0
1992,India,"Sri Lanka",IND,LKA,113377,0,0
1993,India,Afghanistan,IND,AFG,24421,0,0
1993,India,Angola,IND,AGO,5,0,0
1993,India,Armenia,IND,ARM,5,0,0
1993,India,Bangladesh,IND,BGD,56000,0,0
1993,India,China,IND,CHN,108001,0,0
1993,India,Ethiopia,IND,ETH,17,0,0
1993,India,"Iran (Islamic Rep. of)",IND,IRN,244,0,0
1993,India,Iraq,IND,IRQ,47,0,0
